sectorID,sectorName
300001,Information Technology
300002,Retail
300003,Manufacturing
300004,Health Care
300005,Finance
300006,Travel & Tourism
300007,Media
300008,Business Services
300009,Government
300010,Insurance
300011,Education
300012,"Oil, Gas, Energy & Utilities"
300013,Telecommunications
300014,Biotech & Pharmaceuticals
300015,Real Estate
300016,"Restaurants, Bars & Food Services"
300017,Transportation & Logistics
300018,Consumer Services
300019,"Arts, Entertainment & Recreation"
300020,Accounting & Legal
300021,Agriculture & Forestry
300022,Aerospace & Defense
300023,Non-Profit
300024,"Construction, Repair & Maintenance"